file,open_time,close_time,side,pnl,strategy,magic,aligned_hits,aligned_same_dir
EURUSD_trade_audit_2009-10-01_2010-10-01 copy 2.csv,2009-10-01 03:55:00+00:00,2009-10-01 04:43:00+00:00,sell,55.87214778416944,SMA_CROSS,2001,2,1
EURUSD_trade_audit_2009-10-01_2010-10-01.csv,2009-10-01 03:55:00+00:00,2009-10-01 05:18:00+00:00,sell,35.07214778414864,EMA_X,3201,2,1
EURUSD_trade_audit_2009-10-01_2010-10-01.csv,2009-10-01 05:35:00+00:00,2009-10-01 08:23:00+00:00,sell,118.03799108627564,EMA_X,3201,1,0
EURUSD_trade_audit_2009-10-01_2010-10-01.csv,2009-10-01 08:42:00+00:00,2009-10-01 08:46:00+00:00,sell,193.92506119546087,EMA_X,3201,1,1
EURUSD_trade_audit_2009-10-01_2010-10-01 copy 2.csv,2009-10-01 09:41:00+00:00,2009-10-01 10:08:00+00:00,buy,103.09643783270056,SMA_CROSS,2001,1,1
EURUSD_trade_audit_2009-10-01_2010-10-01.csv,2009-10-01 09:42:00+00:00,2009-10-01 10:43:00+00:00,buy,247.56482713502444,EMA_X,3201,1,1
EURUSD_trade_audit_2009-10-01_2010-10-01 copy.csv,2009-10-01 10:34:00+00:00,2009-10-01 11:31:00+00:00,sell,31.30459128504263,RSI_X,3301,0,0
EURUSD_trade_audit_2009-10-01_2010-10-01 copy 2.csv,2009-10-01 10:59:00+00:00,2009-10-01 12:25:00+00:00,sell,97.82820783012656,SMA_CROSS,2001,1,1
EURUSD_trade_audit_2009-10-01_2010-10-01.csv,2009-10-01 11:00:00+00:00,2009-10-01 12:25:00+00:00,sell,83.68857520729337,EMA_X,3201,1,1
EURUSD_trade_audit_2009-10-01_2010-10-01 copy.csv,2009-10-01 11:32:00+00:00,2009-10-01 12:25:00+00:00,sell,76.6323797470002,RSI_X,3301,0,0
EURUSD_trade_audit_2009-10-01_2010-10-01.csv,2009-10-01 12:47:00+00:00,2009-10-01 13:27:00+00:00,sell,67.48118304717832,EMA_X,3201,2,1
EURUSD_trade_audit_2009-10-01_2010-10-01 copy 2.csv,2009-10-01 12:48:00+00:00,2009-10-01 13:26:00+00:00,sell,86.67452578739808,SMA_CROSS,2001,2,1
EURUSD_trade_audit_2009-10-01_2010-10-01 copy.csv,2009-10-01 15:34:00+00:00,2009-10-01 15:41:00+00:00,buy,70.88188637362836,RSI_X,3301,2,2
EURUSD_trade_audit_2009-10-01_2010-10-01.csv,2009-10-01 15:39:00+00:00,2009-10-01 16:36:00+00:00,buy,82.71262048398219,EMA_X,3201,2,2
EURUSD_trade_audit_2009-10-01_2010-10-01 copy 2.csv,2009-10-01 15:39:00+00:00,2009-10-01 15:57:00+00:00,buy,44.05298978142828,SMA_CROSS,2001,2,2
EURUSD_trade_audit_2009-10-01_2010-10-01.csv,2009-10-01 17:49:00+00:00,2009-10-01 17:55:00+00:00,buy,180.53364319456037,EMA_X,3201,3,1
EURUSD_trade_audit_2009-10-01_2010-10-01 copy 2.csv,2009-10-01 17:53:00+00:00,2009-10-01 17:55:00+00:00,buy,135.52487160426094,SMA_CROSS,2001,3,1
EURUSD_trade_audit_2009-10-01_2010-10-01 copy.csv,2009-10-01 17:56:00+00:00,2009-10-01 18:21:00+00:00,sell,269.2842557993349,RSI_X,3301,4,2
EURUSD_trade_audit_2009-10-01_2010-10-01 copy 2.csv,2009-10-01 18:06:00+00:00,2009-10-01 18:15:00+00:00,sell,63.3883492442996,SMA_CROSS,2001,3,2
EURUSD_trade_audit_2009-10-01_2010-10-01.csv,2009-10-01 18:06:00+00:00,2009-10-01 18:21:00+00:00,sell,49.73940998237955,EMA_X,3201,3,2
EURUSD_trade_audit_2009-10-01_2010-10-01 copy 2.csv,2009-10-01 20:10:00+00:00,2009-10-01 22:29:00+00:00,sell,54.57304978326381,SMA_CROSS,2001,0,0
EURUSD_trade_audit_2009-10-01_2010-10-01 copy.csv,2009-10-01 23:00:00+00:00,2009-10-02 00:07:00+00:00,buy,108.12343541270108,RSI_X,3301,4,4
EURUSD_trade_audit_2009-10-01_2010-10-01 copy 2.csv,2009-10-01 23:11:00+00:00,2009-10-01 23:26:00+00:00,buy,27.068158903485084,SMA_CROSS,2001,2,2
EURUSD_trade_audit_2009-10-01_2010-10-01.csv,2009-10-01 23:11:00+00:00,2009-10-02 00:07:00+00:00,buy,30.65066610494877,EMA_X,3201,2,2
EURUSD_trade_audit_2009-10-01_2010-10-01 copy 2.csv,2009-10-02 00:04:00+00:00,2009-10-02 02:56:00+00:00,sell,121.34557351654928,SMA_CROSS,2001,0,0
EURUSD_trade_audit_2009-10-01_2010-10-01 copy.csv,2009-10-02 01:00:00+00:00,2009-10-02 02:56:00+00:00,sell,151.0492789123279,RSI_X,3301,1,0
EURUSD_trade_audit_2009-10-01_2010-10-01 copy.csv,2009-10-02 03:11:00+00:00,2009-10-02 03:54:00+00:00,buy,78.02283629029375,RSI_X,3301,2,2
EURUSD_trade_audit_2009-10-01_2010-10-01.csv,2009-10-02 04:13:00+00:00,2009-10-02 08:01:00+00:00,buy,139.27269904547768,EMA_X,3201,1,1
EURUSD_trade_audit_2009-10-01_2010-10-01 copy 2.csv,2009-10-02 04:14:00+00:00,2009-10-02 08:00:00+00:00,buy,158.4664549100541,SMA_CROSS,2001,1,1
EURUSD_trade_audit_2009-10-01_2010-10-01 copy 2.csv,2009-10-02 08:22:00+00:00,2009-10-02 09:33:00+00:00,buy,32.29272598317957,SMA_CROSS,2001,1,1
EURUSD_trade_audit_2009-10-01_2010-10-01 copy.csv,2009-10-02 09:23:00+00:00,2009-10-02 10:17:00+00:00,sell,160.19018177623877,RSI_X,3301,2,2
EURUSD_trade_audit_2009-10-01_2010-10-01 copy 2.csv,2009-10-02 09:36:00+00:00,2009-10-02 10:16:00+00:00,sell,87.47221992957485,SMA_CROSS,2001,2,2
