id,side,lots,initial_balance,account_balance_after,open_time,close_time,entry_price,exit_price,sl_first,sl_last,sl_mod_count,tp_first,tp_last,tp_mod_count,sl_reason,tp_reason,be_applied,be_price,be_trigger_pips,be_offset_pips,trailing_sl_distance,near_tp_buffer_pips,tp_extension_pips,highest_price,lowest_price,slippage_open_pips,slippage_close_pips,commission,swap,gross_pnl,net_pnl,exit_reason,strategy_id,magic_number
1,sell,1.04,5000.0,4855.6257630725,2014-11-03 05:26:00+00:00,2014-11-03 08:24:00+00:00,1.2477820558069677,1.2491002696235782,1.2489820558069678,1.2489820558069678,0,1.2429820558069677,1.2429820558069677,0,,,False,,,0.0,,,,1.24915,1.24764,-0.3794419303249086,0.982138166105706,7.28,0.0,-137.09423692749922,-144.37423692749923,Stop Loss,EMA_X,3201
2,sell,1.01,4855.6257630725,4719.820885684832,2014-11-03 09:16:00+00:00,2014-11-03 11:10:00+00:00,1.249138988575655,1.2504135913220675,1.250338988575655,1.250338988575655,0,1.244338988575655,1.244338988575655,0,,,False,,,0.0,,,,1.25044,1.24833,-0.8101142434502329,0.5460274641255758,7.07,0.0,-128.7348773876682,-135.8048773876682,Stop Loss,EMA_X,3201
3,sell,0.9825,4719.820885684832,4584.631605036909,2014-11-03 11:29:00+00:00,2014-11-03 15:50:00+00:00,1.249610467640322,1.2509164399624382,1.250810467640322,1.250810467640322,0,1.244810467640322,1.244810467640322,0,,,False,,,0.0,,,,1.2509299999999999,1.2484899999999999,-0.7953235967805838,0.8597232211626782,6.8775,0.0,-128.31178064792323,-135.18928064792323,Stop Loss,EMA_X,3201
4,sell,0.9550000000000001,4584.631605036909,4654.899425665476,2014-11-03 16:02:00+00:00,2014-11-03 17:00:00+00:00,1.2495348106701845,1.2487290219725031,1.2507348106701845,1.24865,1,1.2447348106701845,1.2447348106701845,0,trailing_sl,,True,,13.0,2.0,12.0,,,1.25048,1.24745,-0.751893298156503,0.5902197250318153,6.6850000000000005,0.0,76.95282062856712,70.26782062856712,trailing_sl,EMA_X,3201
5,buy,0.9675,4654.899425665476,4525.518992727401,2014-11-03 17:19:00+00:00,2014-11-03 17:49:00+00:00,1.2495694221707891,1.2483021567140649,1.248369422170789,1.248369422170789,0,1.254369422170789,1.254369422170789,0,,,False,,,0.0,,,,1.25058,1.24827,0.7942217078915625,-0.4726545672428806,6.7725,0.0,-122.60793293807477,-129.38043293807476,Stop Loss,EMA_X,3201
6,buy,0.9425,4525.518992727401,4400.950577818424,2014-11-03 18:07:00+00:00,2014-11-03 20:14:00+00:00,1.2488979194701906,1.2476462386754004,1.2476979194701905,1.2476979194701905,0,1.2536979194701905,1.2536979194701905,0,,,False,,,0.0,,,,1.24958,1.24752,0.47919470190782576,-0.3168079479021202,6.5975,0.0,-117.97091490897739,-124.56841490897739,Stop Loss,EMA_X,3201
7,buy,0.915,4400.950577818424,4444.143942709139,2014-11-03 20:49:00+00:00,2014-11-03 21:44:00+00:00,1.2478769108168393,1.2484189694495247,1.2466769108168392,1.2484899999999999,1,1.2526769108168392,1.2526769108168392,0,trailing_sl,,True,,13.0,2.0,12.0,,,1.24969,1.24781,0.3691081683943054,-0.5103055047528393,6.405,0.0,49.598364890715565,43.193364890715564,trailing_sl,EMA_X,3201
8,sell,0.925,4444.143942709139,4319.957646245398,2014-11-03 21:48:00+00:00,2014-11-03 22:13:00+00:00,1.2480451401025534,1.2493176946589182,1.2492451401025535,1.2492451401025535,0,1.2432451401025535,1.2432451401025535,0,,,False,,,0.0,,,,1.24936,1.2480451401025534,-0.7485989744671073,0.5255455636477002,6.4750000000000005,0.0,-117.71129646374112,-124.18629646374112,Stop Loss,EMA_X,3201
9,sell,0.8975,4319.957646245398,4190.842977773573,2014-11-03 22:56:00+00:00,2014-11-04 02:23:00+00:00,1.2490470154103348,1.2503612189587674,1.250247015410335,1.250247015410335,0,1.2442470154103349,1.2442470154103349,0,,,False,,,0.0,,,,1.2502499999999999,1.24799,-0.4298458966522922,0.9420354843259204,6.2825,4.8824000000000005,-117.94976847182501,-129.114668471825,Stop Loss,EMA_X,3201
10,sell,0.8725,4190.842977773573,4074.0022840256365,2014-11-04 02:39:00+00:00,2014-11-04 03:15:00+00:00,1.2493110355437638,1.2505801838961756,1.2505110355437639,1.2505110355437639,0,1.2445110355437639,1.2445110355437639,0,,,False,,,0.0,,,,1.25068,1.24921,-0.4896445623625567,0.49148352411876317,6.1075,0.0,-110.7331937479361,-116.8406937479361,Stop Loss,EMA_X,3201
11,sell,0.8475,4074.0022840256365,3961.378176832828,2014-11-04 03:38:00+00:00,2014-11-04 05:18:00+00:00,1.2498531911122321,1.2511120891322063,1.2510531911122322,1.2510531911122322,0,1.2450531911122322,1.2450531911122322,0,,,False,,,0.0,,,,1.25183,1.24942,-0.9680888776797403,0.38898019974142883,5.9325,0.0,-106.6916071928085,-112.62410719280851,Stop Loss,EMA_X,3201
12,sell,0.8250000000000001,3961.378176832828,4034.582473130625,2014-11-04 06:15:00+00:00,2014-11-04 10:36:00+00:00,1.2522776914605085,1.2513203666568988,1.2534776914605086,1.25127,8,1.2474776914605086,1.2474776914605086,0,trailing_sl,,True,,13.0,2.0,12.0,,,1.2527300000000001,1.25007,-0.8230853949164896,0.3036665689881701,5.775,0.0,78.97929629779699,73.20429629779699,trailing_sl,EMA_X,3201
13,sell,0.84,4034.582473130625,3919.6102506668503,2014-11-04 11:03:00+00:00,2014-11-04 12:17:00+00:00,1.2506600246574495,1.251958741591542,1.2518600246574496,1.2518600246574496,0,1.2458600246574496,1.2458600246574496,0,,,False,,,0.0,,,,1.25197,1.25001,-0.8997534255050788,0.7871693409255975,5.88,0.0,-109.09222246377493,-114.97222246377493,Stop Loss,EMA_X,3201
