id,side,lots,initial_balance,account_balance_after,open_time,close_time,entry_price,exit_price,sl_first,sl_last,sl_mod_count,tp_first,tp_last,tp_mod_count,sl_reason,tp_reason,be_applied,be_price,be_trigger_pips,be_offset_pips,trailing_sl_distance,near_tp_buffer_pips,tp_extension_pips,highest_price,lowest_price,slippage_open_pips,slippage_close_pips,commission,swap,gross_pnl,net_pnl,exit_reason,strategy_id,magic_number
1,sell,1.04,5000.0,5068.879310570478,2021-05-03 04:01:00+00:00,2021-05-03 09:55:00+00:00,1.2033207691940568,1.2025884681308792,1.204520769194057,1.2025000000000001,11,1.198520769194057,1.198520769194057,0,trailing_sl,,True,,13.0,2.0,12.0,,,1.20355,1.2013,-0.9923080594331779,0.6846813087912906,7.28,0.0,76.15931057047831,68.87931057047831,trailing_sl,RSI_X,3301
2,sell,1.0525,5068.879310570478,4929.379879692382,2021-05-03 10:03:00+00:00,2021-05-03 11:53:00+00:00,1.203620298688863,1.2048757089584887,1.2048202986888632,1.2048202986888632,0,1.1988202986888632,1.1988202986888632,0,,,False,,,0.0,,,,1.20485,1.20312,-0.4970131113690712,0.3541026962561311,7.3675,0.0,-132.13193087809566,-139.49943087809567,Stop Loss,RSI_X,3301
3,sell,1.0225,4929.379879692382,4791.025756648851,2021-05-03 11:55:00+00:00,2021-05-03 16:59:00+00:00,1.204578887135282,1.205861983693165,1.2057788871352821,1.2057788871352821,0,1.1997788871352821,1.1997788871352821,0,,,False,,,0.0,,,,1.20605,1.20418,-0.6111286471810473,0.6309655788294677,7.1575,0.0,-131.1966230435312,-138.3541230435312,Stop Loss,RSI_X,3301
4,sell,0.9975,4791.025756648851,4658.215343689226,2021-05-03 17:02:00+00:00,2021-05-03 17:15:00+00:00,1.2060466034599366,1.2073080361713113,1.2072466034599367,1.2072466034599367,0,1.2012466034599367,1.2012466034599367,0,,,False,,,0.0,,,,1.20725,1.20602,-0.3339654006340176,0.4143271137468929,6.9825,0.0,-125.82791295962512,-132.81041295962513,Stop Loss,RSI_X,3301
5,sell,0.97,4658.215343689226,4697.788048832598,2021-05-03 17:18:00+00:00,2021-05-03 20:41:00+00:00,1.2069018834501952,1.2064239174177893,1.2081018834501953,1.2063300000000001,10,1.2021018834501953,1.2021018834501953,0,trailing_sl,,True,,13.0,2.0,12.0,,,1.20759,1.20513,-0.38116549804900757,0.7391741778928207,6.79,0.0,46.36270514337304,39.57270514337304,trailing_sl,RSI_X,3301
6,sell,0.9775,4697.788048832598,5145.492123016317,2021-05-03 20:42:00+00:00,2021-05-04 10:27:00+00:00,1.2061700672565985,1.2014655744260745,1.2073700672565986,1.20252,45,1.2013700672565986,1.2013700672565986,0,trailing_sl,,True,,13.0,2.0,12.0,,,1.20672,1.20132,-0.8993274340163282,0.7550716947601899,6.8425,5.3176000000000005,459.86417418371974,447.70407418371974,Take Profit,RSI_X,3301
7,buy,1.07,5145.492123016317,5000.729195910779,2021-05-04 10:29:00+00:00,2021-05-04 10:41:00+00:00,1.201969350517933,1.2006864259655448,1.2007693505179329,1.2007693505179329,0,1.2067693505179329,1.2067693505179329,0,,,False,,,0.0,,,,1.201969350517933,1.2006999999999999,0.9935051793297234,-0.6292455238821049,7.49,0.0,-137.2729271055384,-144.7629271055384,Stop Loss,RSI_X,3301
8,buy,1.04,5000.729195910779,4861.39137864724,2021-05-04 10:42:00+00:00,2021-05-04 12:04:00+00:00,1.2011932806138497,1.1999234939093926,1.1999932806138496,1.1999932806138496,0,1.2059932806138496,1.2059932806138496,0,,,False,,,0.0,,,,1.20221,1.1999,0.7328061384970219,-0.49786704457099873,7.28,0.0,-132.05781726353828,-139.33781726353828,Stop Loss,RSI_X,3301
9,buy,1.0125,4861.39137864724,4974.241085702543,2021-05-04 12:07:00+00:00,2021-05-04 16:24:00+00:00,1.2005383202321072,1.2017228852400608,1.199338320232107,1.2018199999999999,9,1.205338320232107,1.205338320232107,0,trailing_sl,,True,,13.0,2.0,12.0,,,1.20302,1.20011,0.9832023210720742,-0.7711475993921191,7.0874999999999995,0.0,119.93720705530286,112.84970705530286,trailing_sl,RSI_X,3301
10,sell,1.0325,4974.241085702543,5029.880933452265,2021-05-04 17:58:00+00:00,2021-05-04 18:11:00+00:00,1.2029291628377858,1.2023202781138176,1.204129162837786,1.20225,1,1.198129162837786,1.198129162837786,0,trailing_sl,,True,,13.0,2.0,12.0,,,1.20356,1.20105,-0.608371622141668,0.5027811381763669,7.2275,0.0,62.867347749721866,55.639847749721866,trailing_sl,RSI_X,3301
